"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast","MarketUTC"
"1",2019-01-01,7.28,0,0.01007,0,6,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,20,20,0,0,0,2019-01-01
"2",2019-01-01 00:05:00,7.28275,0,0.01007,0,6,19.9916651920304,19.9271214423906,0,5.81852675252594,6.81852675252594,34.2649638983421,35.2649638983421,0,0,0,0,0,0,0,0,0,0,7.28275,0,19.9916651920304,19.9271214423906,0,0,0,2019-01-01
"3",2019-01-01 00:10:00,7.2855,0,0.01007,0,6,19.977341388326,19.8564823908499,0,5.81852675252594,6.81852675252594,34.2649638983421,35.2649638983421,0,0,0,0,0,0,0,0,0,0,7.2855,0,19.977341388326,19.8564823908499,0,0,0,2019-01-01
"4",2019-01-01 00:15:00,7.28825,0,0.01007,0,6,20.7077969605079,19.7878397565125,0,23.8254829666112,24.8254829666112,25.1616261019371,26.1616261019371,1,0,9,0,0.624756498706369,0,0.624756498706369,0.00629129794197313,0,-0.00629129794197313,7.28825,0,20.7077969605079,19.7878397565125,9,0,0.624756498706369,2019-01-01 00:15:00
"5",2019-01-01 00:20:00,7.291,0,0.01007,0,6,21.3635375641092,19.7419671047487,0,23.8254829666112,24.8254829666112,25.1616261019371,26.1616261019371,1,0,9,0,0.624748538134256,0,0.624748538134256,0.00629121777901196,1,-0.00629121777901196,7.291,0,21.3635375641092,19.7419671047487,9,0,0.624748538134256,2019-01-01 00:15:00
"6",2019-01-01 00:25:00,7.29375,0,0.01007,0,6,21.9536687398064,19.7160060645376,0,23.8254829666112,24.8254829666112,25.1616261019371,26.1616261019371,1,0,9,0,0.624740578577988,0,0.624740578577988,0.00629113762628034,1,-0.00629113762628034,7.29375,0,21.9536687398064,19.7160060645376,9,0,0.624740578577988,2019-01-01 00:15:00
"7",2019-01-01 00:30:00,7.2965,0,0.01007,0,6,21.7361785860438,19.7074494267641,0,20.5044631767087,21.5044631767087,43.9435962312855,44.9435962312855,0,0,0,0,0,0,0,0,1,0,7.2965,0,21.7361785860438,19.7074494267641,0,0,0,2019-01-01 00:30:00
"8",2019-01-01 00:35:00,7.29925,0,0.01007,0,6,21.5382431735818,19.693111078578,0,20.5044631767087,21.5044631767087,43.9435962312855,44.9435962312855,0,0,0,0,0,0,0,0,1,0,7.29925,0,21.5382431735818,19.693111078578,0,0,0,2019-01-01 00:30:00
"9",2019-01-01 00:40:00,7.302,0,0.01007,0,6,21.3574958725651,19.6737331332014,0,20.5044631767087,21.5044631767087,43.9435962312855,44.9435962312855,0,0,0,0,0,0,0,0,1,0,7.302,0,21.3574958725651,19.6737331332014,0,0,0,2019-01-01 00:30:00
"10",2019-01-01 00:45:00,7.30475,0,0.01007,0,6,21.1918604134922,19.6499664602928,0,9.36389060528018,10.3638906052802,44.0986408554018,45.0986408554018,0,0,0,0,0,0,0,0,1,0,7.30475,0,21.1918604134922,19.6499664602928,0,0,0,2019-01-01 00:45:00
"11",2019-01-01 00:50:00,7.3075,0,0.01007,0,6,21.0395152450456,19.6223818871083,0,9.36389060528018,10.3638906052802,44.0986408554018,45.0986408554018,0,0,0,0,0,0,0,0,1,0,7.3075,0,21.0395152450456,19.6223818871083,0,0,0,2019-01-01 00:45:00
"12",2019-01-01 00:55:00,7.31025,0,0.01007,0,6,20.8988622671341,19.5914800246751,0,9.36389060528018,10.3638906052802,44.0986408554018,45.0986408554018,0,0,0,0,0,0,0,0,0,0,7.31025,0,20.8988622671341,19.5914800246751,0,0,0,2019-01-01 00:45:00
"13",2019-01-01 01:00:00,7.313,0,-0.00408,0,6,20.7684994020718,19.5576998877604,0,14.6661345635075,15.6661345635075,32.8329986524768,33.8329986524768,0,0,0,0,0,0,0,0,0,0,7.313,0,20.7684994020718,19.5576998877604,0,0,0,2019-01-01 01:00:00
"14",2019-01-01 01:05:00,7.31608333333333,0,-0.00408,0,6,20.6471967512129,19.5214283669311,0,14.6661345635075,15.6661345635075,32.8329986524768,33.8329986524768,0,0,0,0,0,0,0,0,0,0,7.31608333333333,0,20.6471967512129,19.5214283669311,0,0,0,2019-01-01 01:00:00
"15",2019-01-01 01:10:00,7.31916666666667,0,-0.00408,0,6,20.533875206898,19.4830029833952,0,14.6661345635075,15.6661345635075,32.8329986524768,33.8329986524768,0,0,0,0,0,0,0,0,0,0,7.31916666666667,0,20.533875206898,19.4830029833952,0,0,0,2019-01-01 01:00:00
"16",2019-01-01 01:15:00,7.32225,0,-0.00408,0,6,21.1775879767409,19.4427196831587,0,23.3353657694533,24.3353657694533,34.92068292154,35.92068292154,1,0,9,0,0.624658148401412,0,0.624658148401412,-0.00254860524547776,1,0.00254860524547776,7.32225,0,21.1775879767409,19.4427196831587,9,0,0.624658148401412,2019-01-01 01:15:00
"17",2019-01-01 01:20:00,7.32533333333333,0,-0.00408,0,6,21.7573360965611,19.4218248990551,0,23.3353657694533,24.3353657694533,34.92068292154,35.92068292154,1,0,9,0,0.62464923704695,0,0.62464923704695,-0.00254856888715156,1,0.00254856888715156,7.32533333333333,0,21.7573360965611,19.4218248990551,9,0,0.62464923704695,2019-01-01 01:15:00
"18",2019-01-01 01:25:00,7.32841666666667,0,-0.00408,0,6,22.2809051864817,19.4178750824185,0,23.3353657694533,24.3353657694533,34.92068292154,35.92068292154,1,0,9,0,0.624640326966477,0,0.624640326966477,-0.00254853253402323,1,0.00254853253402323,7.32841666666667,0,22.2809051864817,19.4178750824185,9,0,0.624640326966477,2019-01-01 01:15:00
"19",2019-01-01 01:30:00,7.3315,0,-0.00408,0,6,22.0051254510095,19.4287269266375,0,19.8318205301184,20.8318205301184,21.6706989803351,22.6706989803351,0,0,0,0,0,0,0,0,1,0,7.3315,0,22.0051254510095,19.4287269266375,0,0,0,2019-01-01 01:30:00
"20",2019-01-01 01:35:00,7.33458333333333,0,-0.00408,0,6,21.7561572041835,19.4315135521178,0,19.8318205301184,20.8318205301184,21.6706989803351,22.6706989803351,0,0,0,0,0,0,0,0,1,0,7.33458333333333,0,21.7561572041835,19.4315135521178,0,0,0,2019-01-01 01:30:00
"21",2019-01-01 01:40:00,7.33766666666667,0,-0.00408,0,6,21.5307427487425,19.4272571194076,0,19.8318205301184,20.8318205301184,21.6706989803351,22.6706989803351,0,0,0,0,0,0,0,0,1,0,7.33766666666667,0,21.5307427487425,19.4272571194076,0,0,0,2019-01-01 01:30:00
