"population_size";"iteration_number";"run_number";"optimization_horizon";"optimization_frequency";"month"
30;30;4;12;12;0
30;30;4;18;12;0
30;30;4;18;18;0
30;30;4;24;12;0
30;30;4;24;18;0
30;30;4;24;24;0
30;30;6;12;12;0
30;30;6;18;12;0
30;30;6;18;18;0
30;30;6;24;12;0
30;30;6;24;18;0
30;30;6;24;24;0
30;30;8;12;12;0
30;30;8;18;12;0
30;30;8;18;18;0
30;30;8;24;12;0
30;30;8;24;18;0
30;30;8;24;24;0
30;30;10;12;12;0
30;30;10;18;12;0
30;30;10;18;18;0
30;30;10;24;12;0
30;30;10;24;18;0
30;30;10;24;24;0
30;32;4;12;12;0
30;32;4;18;12;0
30;32;4;18;18;0
30;32;4;24;12;0
30;32;4;24;18;0
30;32;4;24;24;0
30;32;6;12;12;0
30;32;6;18;12;0
30;32;6;18;18;0
30;32;6;24;12;0
30;32;6;24;18;0
30;32;6;24;24;0
30;32;8;12;12;0
30;32;8;18;12;0
30;32;8;18;18;0
30;32;8;24;12;0
30;32;8;24;18;0
30;32;8;24;24;0
30;32;10;12;12;0
30;32;10;18;12;0
30;32;10;18;18;0
30;32;10;24;12;0
30;32;10;24;18;0
30;32;10;24;24;0
30;34;4;12;12;0
30;34;4;18;12;0
30;34;4;18;18;0
30;34;4;24;12;0
30;34;4;24;18;0
30;34;4;24;24;0
30;34;6;12;12;0
30;34;6;18;12;0
30;34;6;18;18;0
30;34;6;24;12;0
30;34;6;24;18;0
30;34;6;24;24;0
30;34;8;12;12;0
30;34;8;18;12;0
30;34;8;18;18;0
30;34;8;24;12;0
30;34;8;24;18;0
30;34;8;24;24;0
30;34;10;12;12;0
30;34;10;18;12;0
30;34;10;18;18;0
30;34;10;24;12;0
30;34;10;24;18;0
30;34;10;24;24;0
30;36;4;12;12;0
30;36;4;18;12;0
30;36;4;18;18;0
30;36;4;24;12;0
30;36;4;24;18;0
30;36;4;24;24;0
30;36;6;12;12;0
30;36;6;18;12;0
30;36;6;18;18;0
30;36;6;24;12;0
30;36;6;24;18;0
30;36;6;24;24;0
30;36;8;12;12;0
30;36;8;18;12;0
30;36;8;18;18;0
30;36;8;24;12;0
30;36;8;24;18;0
30;36;8;24;24;0
30;36;10;12;12;0
30;36;10;18;12;0
30;36;10;18;18;0
30;36;10;24;12;0
30;36;10;24;18;0
30;36;10;24;24;0
30;38;4;12;12;0
30;38;4;18;12;0
30;38;4;18;18;0
30;38;4;24;12;0
30;38;4;24;18;0
30;38;4;24;24;0
30;38;6;12;12;0
30;38;6;18;12;0
30;38;6;18;18;0
30;38;6;24;12;0
30;38;6;24;18;0
30;38;6;24;24;0
30;38;8;12;12;0
30;38;8;18;12;0
30;38;8;18;18;0
30;38;8;24;12;0
30;38;8;24;18;0
30;38;8;24;24;0
30;38;10;12;12;0
30;38;10;18;12;0
30;38;10;18;18;0
30;38;10;24;12;0
30;38;10;24;18;0
30;38;10;24;24;0
30;40;4;12;12;0
30;40;4;18;12;0
30;40;4;18;18;0
30;40;4;24;12;0
30;40;4;24;18;0
30;40;4;24;24;0
30;40;6;12;12;0
30;40;6;18;12;0
30;40;6;18;18;0
30;40;6;24;12;0
30;40;6;24;18;0
30;40;6;24;24;0
30;40;8;12;12;0
30;40;8;18;12;0
30;40;8;18;18;0
30;40;8;24;12;0
30;40;8;24;18;0
30;40;8;24;24;0
30;40;10;12;12;0
30;40;10;18;12;0
