population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_confort,month_subset
5,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,5,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,10,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,15,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,15,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,15,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,15,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,15,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,15,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
