"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
10,10,1,12,12,20909.3822713207,965.646459507145,25000,-5281.64645950715,483.646096467972
10,10,1,12,6,20075.3703172192,940.112736648093,22390,-5942.11273664809,551.675418138504
10,10,1,18,12,20865.4504649694,963.503053093277,24892,-5349.50305309328,1681.30377078056
10,10,1,18,18,20921.5748558723,965.366051280523,24577,-5831.36605128052,1653.07338213921
10,10,1,18,6,20017.7351041206,937.587277017638,22397,-5939.58727701764,508.726464748383
10,10,1,24,12,20871.8560373507,965.700535369642,24705,-5320.70053536964,1672.09759378433
10,10,1,24,18,21218.6447349861,980.016624101309,24814,-5739.01662410131,1646.70331406593
10,10,1,24,24,21082.9781834378,973.340880326479,24610,-5990.34088032648,1643.36427640915
10,10,1,24,6,19992.8549590078,937.254372617165,22362,-5977.25437261717,1761.19387674332
10,10,1,6,6,20114.2018409056,942.253691773711,22365,-5984.25369177371,525.230629682541
10,10,10,12,12,17847.0974044375,825.1278491509,25316,-4340.1278491509,3421.08186745644
10,10,10,12,6,17669.7351010652,834.113605521974,22796,-5406.11360552197,5295.72539281845
10,10,10,18,12,17893.3284037008,825.615268776077,25398,-4320.61526877608,3584.0788192749
10,10,10,18,18,18557.3863256173,862.786805670088,25435,-4610.78680567009,3642.66364979744
10,10,10,18,6,17691.5518848299,831.871215252122,22800,-5296.87121525212,3596.03139233589
10,10,10,24,12,17817.3518806761,823.287231748883,25696,-4346.28723174888,3805.36325383186
10,10,10,24,18,18468.0873336521,858.85539904356,25555,-4548.85539904356,3775.68674850464
10,10,10,24,24,18742.1367519202,865.047891813679,25919,-4591.04789181368,3713.18725347519
10,10,10,24,6,17746.2460127414,837.605881779423,22786,-5350.60588177942,3860.17688560486
10,10,10,6,6,17574.0658462593,827.532411436206,22752,-5361.53241143621,5302.71373271942
10,10,2,12,12,19348.0652230152,890.790007579087,25237,-4737.79000757909,1213.36182880402
10,10,2,12,6,18978.9387195738,891.769167157878,22687,-5448.76916715788,3662.26550245285
10,10,2,18,12,19491.4030964246,901.052994418231,25196,-4772.05299441823,1221.98998236656
10,10,2,18,18,19856.6403340957,921.167703637023,25144,-4996.16770363702,1287.91931343079
10,10,2,18,6,18816.8998766036,884.416734463268,22700,-5589.41673446327,1139.47117066383
10,10,2,24,12,19458.7164038858,897.272006362711,25278,-4756.27200636271,1201.67831730843
10,10,2,24,18,19875.9583616569,919.373220109722,25338,-5014.37322010972,1248.64629101753
10,10,2,24,24,20048.0674716258,926.463087555205,25487,-5037.4630875552,1281.76110982895
10,10,2,24,6,18911.709334905,887.506805007081,22799,-5547.50680500708,1102.22494530678
10,10,2,6,6,18963.060359046,892.136183139307,22821,-5460.13618313931,3570.66104745865
10,10,5,12,12,17965.9870322685,829.453189798491,25410,-4328.45318979849,3206.33267855644
10,10,5,12,6,17817.6687142062,838.616397862327,22836,-5388.61639786233,4372.76327466965
10,10,5,18,12,17974.5512973571,831.258375054014,25243,-4410.25837505401,3184.43841862679
10,10,5,18,18,18613.0005057455,865.274588106205,25632,-4570.2745881062,3125.35144495964
