"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
30,30,10,12,12,15323.0444330303,707.355658469251,25312,-3851.35565846925,22778.7609415054
30,30,10,18,12,15336.5373827815,706.050108872199,25183,-3880.0501088722,23452.2742762566
30,30,10,18,18,16331.4125645304,761.600133026587,25600,-4078.60013302659,23828.5873668194
30,30,10,24,12,15365.4132578296,708.622754646095,25329,-3846.62275464609,23097.3477854729
30,30,10,24,18,16172.2574005572,754.37639036296,25515,-4141.37639036296,24209.4113748074
30,30,10,24,24,16389.8675066051,759.652707037793,26227,-3849.65270703779,83625.6798453331
30,30,4,12,12,16163.4478632798,746.649436914392,25397,-3925.64943691439,9843.11387062073
30,30,4,18,12,16160.7198366241,747.703569624067,25269,-3903.70356962407,10021.3852279186
30,30,4,18,18,16897.7620179498,787.708963981272,25477,-4197.70896398127,10746.9256482124
30,30,4,24,12,16246.32200007,750.180212896578,25209,-3912.18021289658,9924.64645791054
30,30,4,24,18,16905.0730982431,787.06169956949,25680,-4152.06169956949,11161.8856844902
30,30,4,24,24,16986.2423526939,787.407261702072,26087,-3933.40726170207,12017.1043610573
30,30,6,12,12,15736.7774433644,725.408067082398,25417,-3924.4080670824,15543.9509558678
30,30,6,18,12,15656.7913835733,720.468192621191,25135,-3899.46819262119,15340.4052548409
30,30,6,18,18,16410.397627993,765.192261068804,25648,-4090.1922610688,17520.9863395691
30,30,6,24,12,15657.2379223662,722.668418463351,25417,-3867.66841846335,15710.4045164585
30,30,6,24,18,16382.8121529732,762.586355558002,25534,-4139.586355558,17182.7729635239
30,30,6,24,24,16595.6924759449,767.892157725636,26264,-3889.89215772564,17952.6745069027
30,30,8,12,12,15409.0237811671,709.662225295207,25258,-3901.66222529521,20227.3707084656
30,30,8,18,12,15463.2871466242,713.239900686766,25077,-3905.23990068677,19626.8694601059
30,30,8,18,18,16297.9750807872,759.161187746718,25643,-4115.16118774672,21308.4395828247
30,30,8,24,12,15449.7193890693,710.852828757205,25248,-3908.8528287572,20317.81574893
30,30,8,24,18,16232.3813749201,756.651515423211,25413,-4146.65151542321,21116.3229336739
30,30,8,24,24,16457.2981580704,759.531345326233,26175,-3860.53134532623,22497.1794390678
30,32,10,12,12,15391.9058688309,710.612809133673,25130,-3891.61280913367,24540.0559225082
30,32,10,18,12,15228.9479840157,701.98117147411,25316,-3895.98117147411,25361.3649277687
30,32,10,18,18,16115.032958041,752.0914302627,25545,-4101.0914302627,26252.2113311291
30,32,10,24,12,15261.173838993,702.894423679897,25279,-3896.8944236799,25728.2849545479
30,32,10,24,18,16148.488168843,754.385463842189,25495,-4081.38546384219,26560.3843545914
30,32,10,24,24,16256.8713924564,754.486827978607,26178,-3848.48682797861,27655.20601964
30,32,4,12,12,16200.2376481807,748.589366897911,25349,-3913.58936689791,33776.5005595684
30,32,4,18,12,16098.6362852037,742.587718137776,25191,-3998.58771813778,33613.7706079483
30,32,4,18,18,17028.8081300309,793.735969317814,25491,-4188.73596931781,36821.4148085117
30,32,4,24,12,16240.7090180905,748.933564983318,25292,-3951.93356498332,33024.1024885178
30,32,4,24,18,16974.7306305306,792.036095592897,25654,-4114.0360955929,36013.7911427021
30,32,4,24,24,17051.8391037744,789.777745679484,26261,-3911.77774567948,39900.5399596691
30,32,6,12,12,15700.0746051365,723.569181224389,25345,-3928.56918122439,53035.2414958477
30,32,6,18,12,15636.3580643491,723.346291827429,25252,-3869.34629182743,16555.5647413731
30,32,6,18,18,16326.4863874721,760.237468545325,25759,-4073.23746854533,17790.1419696808
30,32,6,24,12,15706.5871510742,724.720282576034,25339,-3863.72028257603,16486.0841534138
30,32,6,24,18,16470.264540759,769.284187995931,25559,-4164.28418799593,18838.6366932392
