"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
10,20,10,24,24,3955.88527789205,230.254180036142,2207,-386.254180036142,11152.1164178848
10,20,10,24,24,2362.94249853143,92.2608512452477,2360,-155.260851245248,10994.5550024509
10,20,10,24,24,749.456073206671,30.387226971069,2505,-224.387226971069,10470.8092696667
10,20,10,24,24,134.345343040288,4.95642311697548,1994,-995.956423116975,9468.14319419861
10,20,10,24,24,818.389654545859,34.522746342245,2744,-51.522746342245,9666.36681842804
15,20,10,24,24,3890.48998726439,226.25911807472,2339,-305.25911807472,16734.1222698689
15,20,10,24,24,2354.9450775601,90.9439183488373,2350,-113.943918348837,16335.5274496078
15,20,10,24,24,737.949325314016,30.2267509069501,2529,-205.22675090695,15747.7359833717
15,20,10,24,24,131.146989107489,4.75163791385579,2005,-993.751637913856,14651.4305183887
15,20,10,24,24,802.644390910759,34.1330289747023,2729,-41.1330289747023,19540.4921402931
20,10,1,12,12,4154.30101141254,241.59887127053,1883,-609.59887127053,3030.72481036186
20,10,1,12,6,4177.74728292473,242.549540166916,1952,-595.549540166916,6063.84122872353
20,10,1,15,12,4134.36036398824,237.969475170122,1902,-618.969475170122,3036.28346323967
20,10,1,15,6,4151.12999310822,240.685436546035,2016,-546.685436546035,5978.48051142693
20,10,1,18,12,4128.47371930927,240.397269421779,1928,-594.397269421779,2648.30628561974
20,10,1,18,18,4143.40436460256,239.59331795841,2101,-479.59331795841,2105.93376255035
20,10,1,18,6,4187.18610919323,243.130429959209,1925,-552.130429959209,5958.79010748863
20,10,1,24,12,4158.54407039689,241.817260573362,1939,-584.817260573362,3112.12966680527
20,10,1,24,18,4167.96179509961,243.216779137197,1887,-644.216779137197,2097.54899692535
20,10,1,24,24,4187.51918457392,242.814103597674,2006,-547.814103597674,1589.62335515022
20,10,1,24,6,4205.70559557343,242.895856637141,1898,-615.895856637141,6175.03954458237
20,10,10,12,12,3952.78408725549,229.136100751897,2339,-307.136100751897,20732.45713377
20,10,10,12,6,3927.31721678008,228.028698640014,2299,-313.028698640014,41257.1393711567
20,10,10,15,12,3944.04205697521,229.386616267236,2354,-299.386616267236,54283.7383506298
20,10,10,15,6,3883.45826368878,225.394705167268,2351,-294.394705167268,40542.6300270557
20,10,10,18,12,3875.1676092483,224.402105315376,2360,-289.402105315376,53898.0132591724
20,10,10,18,18,3936.49297825038,228.840472672222,2333,-306.840472672222,15544.3146994114
20,10,10,18,6,3977.17874362571,232.373115008232,2335,-313.373115008232,107102.09698844
20,10,10,24,12,3917.79415187238,227.205665732914,2258,-349.205665732914,22573.8290843964
20,10,10,24,18,3932.23414962399,228.834861773649,2352,-293.834861773649,15337.1955020428
20,10,10,24,24,3920.47164114026,228.572698671723,2382,-275.572698671723,11613.06022048
20,10,10,24,24,2333.22566709473,91.1906578880851,2372,-118.190657888085,11522.1634514332
20,10,10,24,24,723.465972090416,29.1152686486841,2497,-222.115268648684,11588.9793701172
20,10,10,24,24,121.043780171323,4.42038508747504,1990,-982.420385087475,11855.5595715046
20,10,10,24,24,776.12661838405,32.4557408255217,2753,-68.4557408255217,10633.5238933563
20,10,10,24,6,3950.54356291893,229.929658363405,2332,-315.929658363405,44909.7726175785
20,10,3,12,12,3949.43420539662,228.758613298453,2276,-357.758613298453,17773.5096213818
20,10,3,12,6,3986.67014759265,233.479649524226,2254,-372.479649524226,32635.2418608665
20,10,3,15,12,3948.43035372327,230.170474815438,2337,-298.170474815438,17982.8428814411
20,10,3,15,6,4035.67372401749,234.76525372304,2268,-343.76525372304,34218.1772572994
20,10,3,18,12,3967.84256787943,230.443166044376,2312,-346.443166044376,14710.9529271126
20,10,3,18,18,3988.83800751604,231.382516436154,2294,-330.382516436154,11030.0434648991
20,10,3,18,6,3995.25189344471,231.797512555683,2372,-292.797512555683,34882.0363953114
20,10,3,24,12,4009.37047365451,233.225817083852,2330,-310.225817083852,15851.0428814888
20,10,3,24,18,3963.54333508791,230.225384022068,2264,-368.225384022068,11086.2286550999
20,10,3,24,24,3976.22744604589,230.88275221989,2292,-319.88275221989,8729.00233745575
20,10,3,24,6,3943.72112668132,229.471929936332,2236,-374.471929936332,33781.719417572
20,10,5,12,12,3971.0842726897,230.666495029282,2378,-291.666495029282,21866.9023303986
20,10,5,12,6,3973.16452868734,231.055466318068,2293,-314.055466318068,45635.1814553738
20,10,5,15,12,3921.43222403432,228.976933445767,2265,-341.976933445767,21913.9983201027
20,10,5,15,6,3939.9770954175,227.954926347001,2361,-281.954926347001,43029.037031889
20,10,5,18,12,3929.16944683812,229.137633259359,2326,-322.137633259359,22271.9711825848
20,10,5,18,18,3957.36806928469,229.193779157593,2366,-315.193779157593,15033.2206833363
20,10,5,18,6,3919.31200773049,227.413737077045,2318,-309.413737077045,44183.2204809189
20,10,5,24,12,3978.29151313301,230.169902372163,2383,-293.169902372163,22326.1909496784
20,10,5,24,18,3934.99124391022,229.491456857758,2351,-292.491456857758,15012.8170101643
20,10,5,24,24,3927.37335582867,229.014892402554,2345,-323.014892402554,10821.3519713879
20,10,5,24,6,3957.30407743601,229.277056312958,2275,-340.277056312958,42579.1458415985
20,10,8,12,12,3941.51907575436,228.197677063791,2350,-324.19767706379,22050.1209483147
20,10,8,12,6,3922.27902105334,228.221614877373,2365,-283.221614877373,44352.1973776817
20,10,8,15,12,3943.30762178065,229.647084018318,2362,-297.647084018318,22104.2277131081
20,10,8,15,6,3993.50063818926,231.694589035219,2333,-292.694589035219,43585.7334208488
20,10,8,18,12,3905.35108084971,226.238783108209,2396,-287.238783108209,22380.8362565041
20,10,8,18,18,3939.70385888819,228.887874030696,2353,-280.887874030696,14821.0759255886
20,10,8,18,6,3949.17774314477,228.530285227475,2359,-307.530285227475,44494.6199786663
20,10,8,24,12,3969.89611749293,230.818970428087,2336,-307.818970428087,22238.6802344322
