time,Elec_unit_cost_buy,Elec_unit_cost_sell,Flex_unit_cost_down_com,Flex_unit_cost_down_exec,Flex_unit_cost_up_com,Flex_unit_cost_up_exec
2019-01-01,0.01007,0.01007,0.0025175,0.5,0.0025175,0.5
2019-01-01 00:15:00,0.01007,0.01007,0.0025175,0.5,0.0025175,0.5
2019-01-01 00:30:00,0.01007,0.01007,0.0025175,0.5,0.0025175,0.5
2019-01-01 00:45:00,0.01007,0.01007,0.0025175,0.5,0.0025175,0.5
2019-01-01 01:00:00,-0.00408,-0.00408,-0.00102,0.5,-0.00102,0.5
2019-01-01 01:15:00,-0.00408,-0.00408,-0.00102,0.5,-0.00102,0.5
2019-01-01 01:30:00,-0.00408,-0.00408,-0.00102,0.5,-0.00102,0.5
2019-01-01 01:45:00,-0.00408,-0.00408,-0.00102,0.5,-0.00102,0.5
2019-01-01 02:00:00,-0.00991,-0.00991,-0.0024775,0.5,-0.0024775,0.5
2019-01-01 02:15:00,-0.00991,-0.00991,-0.0024775,0.5,-0.0024775,0.5
2019-01-01 02:30:00,-0.00991,-0.00991,-0.0024775,0.5,-0.0024775,0.5
2019-01-01 02:45:00,-0.00991,-0.00991,-0.0024775,0.5,-0.0024775,0.5
2019-01-01 03:00:00,-0.00741,-0.00741,-0.0018525,0.5,-0.0018525,0.5
2019-01-01 03:15:00,-0.00741,-0.00741,-0.0018525,0.5,-0.0018525,0.5
2019-01-01 03:30:00,-0.00741,-0.00741,-0.0018525,0.5,-0.0018525,0.5
2019-01-01 03:45:00,-0.00741,-0.00741,-0.0018525,0.5,-0.0018525,0.5
2019-01-01 04:00:00,-0.01255,-0.01255,-0.0031375,0.5,-0.0031375,0.5
2019-01-01 04:15:00,-0.01255,-0.01255,-0.0031375,0.5,-0.0031375,0.5
2019-01-01 04:30:00,-0.01255,-0.01255,-0.0031375,0.5,-0.0031375,0.5
2019-01-01 04:45:00,-0.01255,-0.01255,-0.0031375,0.5,-0.0031375,0.5
2019-01-01 05:00:00,-0.01725,-0.01725,-0.0043125,0.5,-0.0043125,0.5
2019-01-01 05:15:00,-0.01725,-0.01725,-0.0043125,0.5,-0.0043125,0.5
2019-01-01 05:30:00,-0.01725,-0.01725,-0.0043125,0.5,-0.0043125,0.5
2019-01-01 05:45:00,-0.01725,-0.01725,-0.0043125,0.5,-0.0043125,0.5
