population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_Service_Min,month_subset
30,5,11,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
30,40,11,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
35,15,5,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
80,40,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
45,25,3,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
70,5,9,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
45,45,7,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
90,5,3,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
40,5,11,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
50,30,11,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
70,50,11,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
90,50,5,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
45,10,3,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
60,40,11,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
30,35,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
10,40,9,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
35,45,9,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
30,30,7,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
70,5,5,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
65,35,11,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
50,30,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
95,45,3,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
55,25,9,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
45,25,9,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
40,45,5,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
75,10,5,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
20,30,9,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
95,10,5,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
60,50,11,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
55,25,5,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
45,20,11,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
85,35,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
45,35,5,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
55,35,5,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
70,35,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
25,35,3,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
50,30,3,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
40,50,9,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
15,25,3,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
95,20,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
25,15,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
65,50,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
55,30,11,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
