Variable;Unit;Source
time;Timestamp;
Text;°C;Weather
SolarR;W/m2;Weather
Elec_unit_cost_buy;€/kWh;Market
Elec_unit_cost_sell;€/kWh;Market
Flex_unit_cost_down_com;€/kWh;Market
Flex_unit_cost_down_exec;€/kWh;Market
Flex_unit_cost_up_com;€/kWh;Market
Flex_unit_cost_up_exec;€/kWh;Market
Flex_Probab;%;estimation
Flex_Act;boolean;randomly generated
Flex_Length;hours;randomly generated
Flex_Intensity;;randomly generated
Occupancy;boolean;schedule
Act_vent;boolean;simulation
T_ext_24h;°C;Weather, postprocess
Text_forec;°C;simulation
Text_forec_ant;°C;simulation
SolarR_forec;W/m2;simulation
SolarR_forec_ant;W/m2;simulation
Ti;°C;simulation
Te;°C;simulation
STP_heat;°C;simulation
STP_heat_high;°C;simulation
STP_heat_low;°C;simulation
STP_cool;°C;simulation
STP_cool_high;°C;simulation
STP_cool_low;°C;simulation
Act_heat;boolean;simulation
Act_cool;boolean;simulation
Q_heat;kWh;simulation
Q_cool;kWh;simulation
Elec_heat;kWh;simulation
Elec_cool;kWh;simulation
Elec_total;kWh;simulation
Elec_total_no_flex;kWh;simulation
Elec_Cost;€;simulation
Elec_flex_revenue;€;simulation
Comfort;boolean;simulation
Ti_plan;°C;simulation
Te_plan;°C;simulation
STP_heat_plan;°C;simulation
STP_heat_high_plan;°C;simulation
STP_heat_low_plan;°C;simulation
STP_cool_plan;°C;simulation
STP_cool_high_plan;°C;simulation
STP_cool_low_plan;°C;simulation
Act_heat_plan;boolean;simulation
Act_cool_plan;boolean;simulation
Q_heat_plan;kWh;simulation
Q_cool_plan;kWh;simulation
Elec_heat_plan;kWh;simulation
Elec_cool_plan;kWh;simulation
Elec_total_plan;kWh;simulation
Elec_Cost_Plan;€;simulation
Comfort_plan;boolean;simulation
Ti_plan_flex;°C;simulation
Te_plan_flex;°C;simulation
STP_heat_plan_flex;°C;simulation
STP_heat_high_plan_flex;°C;simulation
STP_heat_low_plan_flex;°C;simulation
STP_cool_plan_flex;°C;simulation
STP_cool_high_plan_flex;°C;simulation
STP_cool_low_plan_flex;°C;simulation
Act_heat_plan_flex;boolean;simulation
Act_cool_plan_flex;boolean;simulation
Q_heat_plan_flex;kWh;simulation
Q_cool_plan_flex;kWh;simulation
Elec_heat_plan_flex;kWh;simulation
Elec_cool_plan_flex;kWh;simulation
Elec_total_plan_flex;kWh;simulation
Comfort_plan_flex;boolean;simulation
Elec_flex_plan;€;simulation
Elec_flex_com_revenue_plan;€;simulation
Elec_flex_exec_revenue_plan;€;simulation
Elec_flex_revenue_plan;€;simulation
Reward;NA;simulation
